externalId;kind;firstName;lastName;companyName;legalIdentifier;email;phone;mobile;addressLine1;addressLine2;postalCode;city;country;notes
DO-0001;company;;;Assureur Bernard SARL;20000000000001;ops1@donneur-1.example.fr;0150000001;;2 rue du Commerce;;31000;Toulouse;FR;
DO-0002;company;;;Assureur Dubois SA;20000000000002;ops2@donneur-2.example.fr;0150000002;;3 place de la République;;44000;Nantes;FR;
DO-0003;company;;;Assureur Thomas EURL;20000000000003;ops3@donneur-3.example.fr;0150000003;;4 chemin des Vignes;;59000;Lille;FR;
DO-0004;individual;Camille;Petit;;;camille.petit.do4@example.fr;;0720000004;5 impasse des Lilas;;67000;Strasbourg;FR;
DO-0005;company;;;Assureur Richard SAS;20000000000005;ops5@donneur-5.example.fr;0150000005;;6 allée des Tilleuls;;34000;Montpellier;FR;
DO-0006;company;;;Assureur Petit SARL;20000000000006;ops6@donneur-6.example.fr;0150000006;;7 rue Nationale;;06000;Nice;FR;
DO-0007;company;;;Assureur Durand SA;20000000000007;ops7@donneur-7.example.fr;0150000007;;8 cours Mirabeau;;35000;Rennes;FR;
DO-0008;individual;Claire;Simon;;;claire.simon.do8@example.fr;;0720000008;9 rue de la Paix;;51100;Reims;FR;
DO-0009;company;;;Assureur Moreau SCI;20000000000009;ops9@donneur-9.example.fr;0150000009;;10 avenue Victor Hugo;;21000;Dijon;FR;
DO-0010;company;;;Assureur Simon SAS;20000000000010;ops10@donneur-10.example.fr;0150000010;;11 boulevard Haussmann;;80000;Amiens;FR;
DO-0011;company;;;Assureur Laurent SARL;20000000000011;ops11@donneur-11.example.fr;0150000011;;12 rue du Commerce;;76000;Rouen;FR;
DO-0012;individual;Léa;Garcia;;;léa.garcia.do12@example.fr;;0720000012;13 place de la République;;14000;Caen;FR;
DO-0013;company;;;Assureur Michel EURL;20000000000013;ops13@donneur-13.example.fr;0150000013;;14 chemin des Vignes;;29200;Brest;FR;
DO-0014;company;;;Assureur Garcia SCI;20000000000014;ops14@donneur-14.example.fr;0150000014;;15 impasse des Lilas;;29800;Landerneau;FR;
DO-0015;company;;;Assureur David SAS;20000000000015;ops15@donneur-15.example.fr;0150000015;;16 allée des Tilleuls;;75001;Paris;FR;
DO-0016;individual;Marie;Dubois;;;marie.dubois.do16@example.fr;;0720000016;17 rue Nationale;;75002;Paris;FR;
DO-0017;company;;;Assureur Bernard SA;20000000000017;ops17@donneur-17.example.fr;0150000017;;18 cours Mirabeau;;69001;Lyon;FR;
DO-0018;company;;;Assureur Dubois EURL;20000000000018;ops18@donneur-18.example.fr;0150000018;;19 rue de la Paix;;69003;Lyon;FR;
DO-0019;company;;;Assureur Thomas SCI;20000000000019;ops19@donneur-19.example.fr;0150000019;;20 avenue Victor Hugo;;13001;Marseille;FR;
DO-0020;individual;Camille;Petit;;;camille.petit.do20@example.fr;;0720000020;21 boulevard Haussmann;;33000;Bordeaux;FR;
DO-0021;company;;;Assureur Richard SARL;20000000000021;ops21@donneur-21.example.fr;0150000021;;22 rue du Commerce;;31000;Toulouse;FR;
DO-0022;company;;;Assureur Petit SA;20000000000022;ops22@donneur-22.example.fr;0150000022;;23 place de la République;;44000;Nantes;FR;
DO-0023;company;;;Assureur Durand EURL;20000000000023;ops23@donneur-23.example.fr;0150000023;;24 chemin des Vignes;;59000;Lille;FR;
DO-0024;individual;Claire;Simon;;;claire.simon.do24@example.fr;;0720000024;25 impasse des Lilas;;67000;Strasbourg;FR;
DO-0025;company;;;Assureur Moreau SAS;20000000000025;ops25@donneur-25.example.fr;0150000025;;26 allée des Tilleuls;;34000;Montpellier;FR;
DO-0026;company;;;Assureur Simon SARL;20000000000026;ops26@donneur-26.example.fr;0150000026;;27 rue Nationale;;06000;Nice;FR;
DO-0027;company;;;Assureur Laurent SA;20000000000027;ops27@donneur-27.example.fr;0150000027;;28 cours Mirabeau;;35000;Rennes;FR;
DO-0028;individual;Léa;Garcia;;;léa.garcia.do28@example.fr;;0720000028;29 rue de la Paix;;51100;Reims;FR;
DO-0029;company;;;Assureur Michel SCI;20000000000029;ops29@donneur-29.example.fr;0150000029;;30 avenue Victor Hugo;;21000;Dijon;FR;
DO-0030;company;;;Assureur Garcia SAS;20000000000030;ops30@donneur-30.example.fr;0150000030;;31 boulevard Haussmann;;80000;Amiens;FR;
